outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.00-0.04), 99.0,(96.1-99.8),0.01 (0.00-0.04), 99.0 (96.1-99.8),-0.41,(-1.87-1.04),-0.41 (-1.87-1.04)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.02,(0.01-0.06), 97.6,(94.2-99.0),0.02 (0.01-0.06), 97.6 (94.2-99.0),0.46,(-0.51-1.44),0.46 (-0.51-1.44)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.00,(0.00-0.03), 99.6,(96.8-99.9),0.00 (0.00-0.03), 99.6 (96.8-99.9),-0.81,(-2.84-1.23),-0.81 (-2.84-1.23)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.00-0.05), 98.9,(95.3-99.7),0.01 (0.00-0.05), 98.9 (95.3-99.7),0.65,(-0.91-2.21),0.65 (-0.91-2.21)
COVID-19 death,Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.02), 99.8,(98.3-100.0),0.00 (0.00-0.02), 99.8 (98.3-100.0),-0.41,(-2.44-1.62),-0.41 (-2.44-1.62)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.02), 99.7,(98.0-100.0),0.00 (0.00-0.02), 99.7 (98.0-100.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.02), 99.1,(97.9-99.6),0.01 (0.00-0.02), 99.1 (97.9-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.00-0.01), 99.3,(98.7-99.6),0.01 (0.00-0.01), 99.3 (98.7-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.01,(0.00-0.01), 99.4,(98.8-99.7),0.01 (0.00-0.01), 99.4 (98.8-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.01,(0.00-0.01), 99.3,(98.7-99.6),0.01 (0.00-0.01), 99.3 (98.7-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.00,(0.00-0.01), 99.7,(99.2-99.9),0.00 (0.00-0.01), 99.7 (99.2-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.00), 99.8,(99.6-99.9),0.00 (0.00-0.00), 99.8 (99.6-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.02), 99.7,(97.7-100.0),0.00 (0.00-0.02), 99.7 (97.7-100.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.02), 99.0,(97.6-99.6),0.01 (0.00-0.02), 99.0 (97.6-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.00-0.02), 99.2,(98.5-99.6),0.01 (0.00-0.02), 99.2 (98.5-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.01,(0.00-0.01), 99.3,(98.7-99.6),0.01 (0.00-0.01), 99.3 (98.7-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.01,(0.00-0.01), 99.2,(98.5-99.6),0.01 (0.00-0.01), 99.2 (98.5-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.00,(0.00-0.01), 99.7,(99.2-99.9),0.00 (0.00-0.01), 99.7 (99.2-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.00), 99.8,(99.6-99.9),0.00 (0.00-0.00), 99.8 (99.6-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.02), 99.7,(97.6-100.0),0.00 (0.00-0.02), 99.7 (97.6-100.0),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.00-0.03), 98.8,(96.8-99.5),0.01 (0.00-0.03), 98.8 (96.8-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.00-0.02), 99.1,(98.2-99.5),0.01 (0.00-0.02), 99.1 (98.2-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.01,(0.00-0.01), 99.2,(98.6-99.6),0.01 (0.00-0.01), 99.2 (98.6-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.01,(0.01-0.02), 99.1,(98.3-99.5),0.01 (0.01-0.02), 99.1 (98.3-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.00,(0.00-0.01), 99.6,(99.0-99.9),0.00 (0.00-0.01), 99.6 (99.0-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.01), 99.7,(99.5-99.9),0.00 (0.00-0.01), 99.7 (99.5-99.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-9.54,(-11.50--7.59),-9.54 (-11.50--7.59)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-10.92,(-11.80--10.03),-10.92 (-11.80--10.03)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.00-0.05), 99.4,(95.4-99.9),0.01 (0.00-0.05), 99.4 (95.4-99.9),-0.06,(-2.12-2.01),-0.06 (-2.12-2.01)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.03,(0.01-0.06), 97.5,(93.8-99.0),0.03 (0.01-0.06), 97.5 (93.8-99.0),1.41,(0.32-2.50),1.41 (0.32-2.50)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.01,(0.00-0.04), 99.5,(96.3-99.9),0.01 (0.00-0.04), 99.5 (96.3-99.9),-0.31,(-2.37-1.76),-0.31 (-2.37-1.76)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.04), 99.4,(95.6-99.9),0.01 (0.00-0.04), 99.4 (95.6-99.9),0.77,(-1.44-2.98),0.77 (-1.44-2.98)
COVID-19 death,BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.02), 99.7,(98.2-100.0),0.00 (0.00-0.02), 99.7 (98.2-100.0),0.19,(-1.90-2.27),0.19 (-1.90-2.27)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-9.52,(-11.48--7.57),-9.52 (-11.48--7.57)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-10.90,(-11.79--10.01),-10.90 (-11.79--10.01)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.00-0.05), 99.3,(94.8-99.9),0.01 (0.00-0.05), 99.3 (94.8-99.9),-0.07,(-2.14-2.00),-0.07 (-2.14-2.00)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.03,(0.01-0.07), 97.1,(92.9-98.8),0.03 (0.01-0.07), 97.1 (92.9-98.8),1.40,(0.31-2.50),1.40 (0.31-2.50)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.01,(0.00-0.04), 99.4,(95.8-99.9),0.01 (0.00-0.04), 99.4 (95.8-99.9),-0.32,(-2.38-1.75),-0.32 (-2.38-1.75)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.05), 99.3,(95.1-99.9),0.01 (0.00-0.05), 99.3 (95.1-99.9),0.76,(-1.46-2.97),0.76 (-1.46-2.97)
COVID-19 death,BNT162b2,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.02), 99.7,(98.1-100.0),0.00 (0.00-0.02), 99.7 (98.1-100.0),0.19,(-1.89-2.27),0.19 (-1.89-2.27)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-9.53,(-11.48--7.58),-9.53 (-11.48--7.58)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-11.07,(-12.01--10.12),-11.07 (-12.01--10.12)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.00-0.05), 99.2,(94.6-99.9),0.01 (0.00-0.05), 99.2 (94.6-99.9),-0.21,(-2.29-1.87),-0.21 (-2.29-1.87)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.03,(0.01-0.08), 96.8,(92.0-98.7),0.03 (0.01-0.08), 96.8 (92.0-98.7),1.44,(0.34-2.53),1.44 (0.34-2.53)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.01,(0.00-0.04), 99.4,(95.5-99.9),0.01 (0.00-0.04), 99.4 (95.5-99.9),-0.39,(-2.45-1.67),-0.39 (-2.45-1.67)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.00-0.05), 99.3,(94.9-99.9),0.01 (0.00-0.05), 99.3 (94.9-99.9),0.65,(-1.57-2.86),0.65 (-1.57-2.86)
COVID-19 death,BNT162b2,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.02), 99.7,(97.8-100.0),0.00 (0.00-0.02), 99.7 (97.8-100.0),0.17,(-1.91-2.26),0.17 (-1.91-2.26)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.01,(0.00-0.03), 99.2,(97.0-99.8),0.01 (0.00-0.03), 99.2 (97.0-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.02), 99.2,(97.6-99.7),0.01 (0.00-0.02), 99.2 (97.6-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.02,(0.01-0.03), 98.2,(96.8-98.9),0.02 (0.01-0.03), 98.2 (96.8-98.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.03,(0.02-0.04), 97.3,(95.6-98.3),0.03 (0.02-0.04), 97.3 (95.6-98.3),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.01,(0.00-0.02), 98.9,(97.5-99.5),0.01 (0.00-0.02), 98.9 (97.5-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.03), 98.8,(97.1-99.5),0.01 (0.00-0.03), 98.8 (97.1-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.01,(0.00-0.02), 99.1,(98.1-99.6),0.01 (0.00-0.02), 99.1 (98.1-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.01,(0.00-0.03), 99.3,(97.0-99.8),0.01 (0.00-0.03), 99.3 (97.0-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.02), 99.2,(97.6-99.7),0.01 (0.00-0.02), 99.2 (97.6-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.02,(0.01-0.03), 98.1,(96.8-98.9),0.02 (0.01-0.03), 98.1 (96.8-98.9),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.03,(0.02-0.04), 97.2,(95.6-98.3),0.03 (0.02-0.04), 97.2 (95.6-98.3),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.01,(0.00-0.02), 98.9,(97.5-99.5),0.01 (0.00-0.02), 98.9 (97.5-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.03), 98.8,(97.1-99.5),0.01 (0.00-0.03), 98.8 (97.1-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.01,(0.00-0.02), 99.1,(98.1-99.6),0.01 (0.00-0.02), 99.1 (98.1-99.6),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.01,(0.00-0.04), 99.1,(96.5-99.8),0.01 (0.00-0.04), 99.1 (96.5-99.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.00-0.03), 99.1,(97.1-99.7),0.01 (0.00-0.03), 99.1 (97.1-99.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.02,(0.01-0.04), 97.8,(96.1-98.7),0.02 (0.01-0.04), 97.8 (96.1-98.7),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.03,(0.02-0.06), 96.5,(94.4-97.8),0.03 (0.02-0.06), 96.5 (94.4-97.8),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.01,(0.01-0.03), 98.5,(96.7-99.3),0.01 (0.01-0.03), 98.5 (96.7-99.3),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.01-0.04), 98.5,(96.4-99.4),0.01 (0.01-0.04), 98.5 (96.4-99.4),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.01,(0.00-0.02), 99.0,(97.8-99.5),0.01 (0.00-0.02), 99.0 (97.8-99.5),0.00,(NA-NA),0.00 (NA-NA)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.60,(-14.00--11.21),-12.60 (-14.00--11.21)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.02,(0.00-0.15), 97.8,(84.7-99.7),0.02 (0.00-0.15), 97.8 (84.7-99.7),1.02,(-1.25-3.28),1.02 (-1.25-3.28)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.00-0.08), 98.8,(91.8-99.8),0.01 (0.00-0.08), 98.8 (91.8-99.8),-0.47,(-2.51-1.57),-0.47 (-2.51-1.57)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-14.01,(-14.52--13.50),-14.01 (-14.52--13.50)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.87,(-13.71--12.03),-12.87 (-13.71--12.03)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.02,(0.00-0.16), 97.8,(84.2-99.7),0.02 (0.00-0.16), 97.8 (84.2-99.7),0.61,(-1.55-2.77),0.61 (-1.55-2.77)
COVID-19 death,ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-11.60,(-12.43--10.78),-11.60 (-12.43--10.78)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.52,(-13.92--11.13),-12.52 (-13.92--11.13)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.02,(0.00-0.16), 97.8,(84.3-99.7),0.02 (0.00-0.16), 97.8 (84.3-99.7),1.04,(-1.23-3.31),1.04 (-1.23-3.31)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.00-0.09), 98.8,(91.4-99.8),0.01 (0.00-0.09), 98.8 (91.4-99.8),-0.44,(-2.48-1.60),-0.44 (-2.48-1.60)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-13.93,(-14.44--13.42),-13.93 (-14.44--13.42)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.79,(-13.63--11.95),-12.79 (-13.63--11.95)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.02,(0.00-0.16), 97.7,(83.7-99.7),0.02 (0.00-0.16), 97.7 (83.7-99.7),0.65,(-1.50-2.81),0.65 (-1.50-2.81)
COVID-19 death,ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-11.52,(-12.35--10.68),-11.52 (-12.35--10.68)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.48,(-13.87--11.08),-12.48 (-13.87--11.08)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.03,(0.00-0.20), 97.2,(80.2-99.6),0.03 (0.00-0.20), 97.2 (80.2-99.6),1.08,(-1.19-3.35),1.08 (-1.19-3.35)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.02,(0.00-0.11), 98.5,(89.1-99.8),0.02 (0.00-0.11), 98.5 (89.1-99.8),-0.38,(-2.42-1.66),-0.38 (-2.42-1.66)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-13.89,(-14.41--13.37),-13.89 (-14.41--13.37)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-12.81,(-13.66--11.96),-12.81 (-13.66--11.96)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.03,(0.00-0.22), 96.9,(77.9-99.6),0.03 (0.00-0.22), 96.9 (77.9-99.6),0.74,(-1.43-2.90),0.74 (-1.43-2.90)
COVID-19 death,ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0),-11.46,(-12.32--10.61),-11.46 (-12.32--10.61)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.18,(0.15-0.21), 82.4,(78.8-85.4),0.18 (0.15-0.21), 82.4 (78.8-85.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.21,(0.18-0.24), 79.1,(75.9-81.9),0.21 (0.18-0.24), 79.1 (75.9-81.9),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.18,(0.16-0.20), 81.8,(79.7-83.8),0.18 (0.16-0.20), 81.8 (79.7-83.8),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.16,(0.14-0.18), 83.9,(82.0-85.7),0.16 (0.14-0.18), 83.9 (82.0-85.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.16,(0.14-0.18), 84.0,(82.1-85.7),0.16 (0.14-0.18), 84.0 (82.1-85.7),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.14,(0.12-0.15), 86.4,(84.7-87.9),0.14 (0.12-0.15), 86.4 (84.7-87.9),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.11,(0.11-0.12), 88.6,(87.8-89.4),0.11 (0.11-0.12), 88.6 (87.8-89.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.18,(0.15-0.22), 81.7,(77.9-84.8),0.18 (0.15-0.22), 81.7 (77.9-84.8),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.22,(0.19-0.25), 78.1,(74.7-81.0),0.22 (0.19-0.25), 78.1 (74.7-81.0),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.19,(0.17-0.22), 80.6,(78.3-82.6),0.19 (0.17-0.22), 80.6 (78.3-82.6),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.17,(0.16-0.20), 82.5,(80.4-84.4),0.17 (0.16-0.20), 82.5 (80.4-84.4),0.00,(NA-NA),0.00 (NA-NA)
"Non-COVID-19
death",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.18,(0.16-0.20), 82.4,(80.2-84.3),0.18 (0.16-0.20), 82.4 (80.2-84.3),0.00,(NA-NA),0.00 (NA-NA)
